emission_type;climate;moisture;livestock_category_type;livestock_production_type;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1 month;Poultry manure;Deep bedding;Composting;Aerobic treatment
CH4;Tropical;Dry;Dairy Cattle;Low-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
CH4;Cool Temperate;Moist;Dairy Cattle;Default;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
CH4;Cool Temperate;Dry;Dairy Cattle;Default;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
CH4;Boreal;Moist;Dairy Cattle;Default;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Boreal;Dry;Dairy Cattle;Default;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Warm Temperate;Moist;Dairy Cattle;Default;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
CH4;Warm Temperate;Dry;Dairy Cattle;Default;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
CH4;Tropical Montane;Dry;Dairy Cattle;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
CH4;Tropical ;Wet;Dairy Cattle;Default;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
CH4;Tropical ;Moist;Dairy Cattle;Default;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
CH4;Tropical;Dry;Dairy Cattle;Default;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
CH4;Cool Temperate;Moist;Other Cattle;High-Productivity;72,4;25,3;2,4;1,2;0,6;0,1;2,4;12,1;0;25,3;0;0;0;0
CH4;Cool Temperate;Dry;Other Cattle;High-Productivity;80,8;31,4;2,4;1,2;0,6;0,1;2,4;12,1;0;31,4;0;0;0;0
CH4;Boreal;Moist;Other Cattle;High-Productivity;60,3;16,9;2,4;1,2;0,6;0,1;2,4;12,1;0;16,9;0;0;0;0
CH4;Boreal;Dry;Other Cattle;High-Productivity;59,1;16,9;2,4;1,2;0,6;0,1;2,4;12,1;0;16,9;0;0;0;0
CH4;Warm Temperate;Moist;Other Cattle;High-Productivity;88;44,6;4,8;1,8;0,6;0,6;2,7;12,1;0;44,6;0;0;0;0
CH4;Warm Temperate;Dry;Other Cattle;High-Productivity;91,7;49,4;4,8;1,8;0,6;0,6;2,7;12,1;0;49,4;0;0;0;0
CH4;Tropical Montane;Dry;Other Cattle;High-Productivity;91,7;71,2;6;2,4;0,6;1,2;2,8;12,1;0;71,2;0;0;0;0
CH4;Tropical ;Wet;Other Cattle;High-Productivity;96,5;91,7;6;2,4;0,6;1,2;2,8;12,1;0;91,7;0;0;0;0
CH4;Tropical ;Moist;Other Cattle;High-Productivity;96,5;88;6;2,4;0,6;1,2;2,8;12,1;0;88;0;0;0;0
CH4;Tropical;Dry;Other Cattle;High-Productivity;96,5;89,2;6;2,4;0,6;1,2;2,8;12,1;0;89,2;0;0;0;0
CH4;Cool Temperate;Moist;Other Cattle;Low-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
CH4;Cool Temperate;Dry;Other Cattle;Low-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
CH4;Boreal;Moist;Other Cattle;Low-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Boreal;Dry;Other Cattle;Low-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Warm Temperate;Moist;Other Cattle;Low-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
CH4;Warm Temperate;Dry;Other Cattle;Low-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
CH4;Tropical Montane;Dry;Other Cattle;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
CH4;Tropical ;Wet;Other Cattle;Low-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
CH4;Tropical ;Moist;Other Cattle;Low-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
CH4;Tropical;Dry;Other Cattle;Low-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
CH4;Cool Temperate;Moist;Other Cattle;Default;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
CH4;Cool Temperate;Dry;Other Cattle;Default;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
CH4;Boreal;Moist;Other Cattle;Default;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Boreal;Dry;Other Cattle;Default;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Warm Temperate;Moist;Other Cattle;Default;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
CH4;Warm Temperate;Dry;Other Cattle;Default;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
CH4;Tropical Montane;Dry;Other Cattle;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
CH4;Tropical ;Wet;Other Cattle;Default;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
CH4;Tropical ;Moist;Other Cattle;Default;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
CH4;Tropical;Dry;Other Cattle;Default;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
CH4;Cool Temperate;Moist;Dairy Buffalo;High-Productivity;72,4;25,3;2,4;1,2;0,6;0,1;2,4;12,1;0;25,3;0;0;0;0
CH4;Cool Temperate;Dry;Dairy Buffalo;High-Productivity;80,8;31,4;2,4;1,2;0,6;0,1;2,4;12,1;0;31,4;0;0;0;0
CH4;Boreal;Moist;Dairy Buffalo;High-Productivity;60,3;16,9;2,4;1,2;0,6;0,1;2,4;12,1;0;16,9;0;0;0;0
CH4;Boreal;Dry;Dairy Buffalo;High-Productivity;59,1;16,9;2,4;1,2;0,6;0,1;2,4;12,1;0;16,9;0;0;0;0
CH4;Warm Temperate;Moist;Dairy Buffalo;High-Productivity;88;44,6;4,8;1,8;0,6;0,6;2,7;12,1;0;44,6;0;0;0;0
CH4;Warm Temperate;Dry;Dairy Buffalo;High-Productivity;91,7;49,4;4,8;1,8;0,6;0,6;2,7;12,1;0;49,4;0;0;0;0
CH4;Tropical Montane;Dry;Dairy Buffalo;High-Productivity;91,7;71,2;6;2,4;0,6;1,2;2,8;12,1;0;71,2;0;0;0;0
CH4;Tropical ;Wet;Dairy Buffalo;High-Productivity;96,5;91,7;6;2,4;0,6;1,2;2,8;12,1;0;91,7;0;0;0;0
CH4;Tropical ;Moist;Dairy Buffalo;High-Productivity;96,5;88;6;2,4;0,6;1,2;2,8;12,1;0;88;0;0;0;0
CH4;Tropical;Dry;Dairy Buffalo;High-Productivity;96,5;89,2;6;2,4;0,6;1,2;2,8;12,1;0;89,2;0;0;0;0
CH4;Cool Temperate;Moist;Dairy Buffalo;Low-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
CH4;Cool Temperate;Dry;Dairy Buffalo;Low-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
CH4;Boreal;Moist;Dairy Buffalo;Low-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Boreal;Dry;Dairy Buffalo;Low-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Warm Temperate;Moist;Dairy Buffalo;Low-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
CH4;Warm Temperate;Dry;Dairy Buffalo;Low-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
CH4;Tropical Montane;Dry;Dairy Buffalo;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
CH4;Tropical ;Wet;Dairy Buffalo;Low-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
CH4;Tropical ;Moist;Dairy Buffalo;Low-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
CH4;Tropical;Dry;Dairy Buffalo;Low-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
CH4;Cool Temperate;Moist;Dairy Buffalo;Default;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
CH4;Cool Temperate;Dry;Dairy Buffalo;Default;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
CH4;Boreal;Moist;Dairy Buffalo;Default;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Boreal;Dry;Dairy Buffalo;Default;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Warm Temperate;Moist;Dairy Buffalo;Default;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
CH4;Warm Temperate;Dry;Dairy Buffalo;Default;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
CH4;Tropical Montane;Dry;Dairy Buffalo;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
CH4;Tropical ;Wet;Dairy Buffalo;Default;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
CH4;Tropical ;Moist;Dairy Buffalo;Default;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
CH4;Tropical;Dry;Dairy Buffalo;Default;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
CH4;Cool Temperate;Moist;Other Buffalo;High-Productivity;72,4;25,3;2,4;1,2;0,6;0,1;2,4;12,1;0;25,3;0;0;0;0
CH4;Cool Temperate;Dry;Other Buffalo;High-Productivity;80,8;31,4;2,4;1,2;0,6;0,1;2,4;12,1;0;31,4;0;0;0;0
CH4;Boreal;Moist;Other Buffalo;High-Productivity;60,3;16,9;2,4;1,2;0,6;0,1;2,4;12,1;0;16,9;0;0;0;0
CH4;Boreal;Dry;Other Buffalo;High-Productivity;59,1;16,9;2,4;1,2;0,6;0,1;2,4;12,1;0;16,9;0;0;0;0
CH4;Warm Temperate;Moist;Other Buffalo;High-Productivity;88;44,6;4,8;1,8;0,6;0,6;2,7;12,1;0;44,6;0;0;0;0
CH4;Warm Temperate;Dry;Other Buffalo;High-Productivity;91,7;49,4;4,8;1,8;0,6;0,6;2,7;12,1;0;49,4;0;0;0;0
CH4;Tropical Montane;Dry;Other Buffalo;High-Productivity;91,7;71,2;6;2,4;0,6;1,2;2,8;12,1;0;71,2;0;0;0;0
CH4;Tropical ;Wet;Other Buffalo;High-Productivity;96,5;91,7;6;2,4;0,6;1,2;2,8;12,1;0;91,7;0;0;0;0
CH4;Tropical ;Moist;Other Buffalo;High-Productivity;96,5;88;6;2,4;0,6;1,2;2,8;12,1;0;88;0;0;0;0
CH4;Tropical;Dry;Other Buffalo;High-Productivity;96,5;89,2;6;2,4;0,6;1,2;2,8;12,1;0;89,2;0;0;0;0
CH4;Cool Temperate;Moist;Other Buffalo;Low-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
CH4;Cool Temperate;Dry;Other Buffalo;Low-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
CH4;Boreal;Moist;Other Buffalo;Low-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Boreal;Dry;Other Buffalo;Low-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Warm Temperate;Moist;Other Buffalo;Low-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
CH4;Warm Temperate;Dry;Other Buffalo;Low-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
CH4;Tropical Montane;Dry;Other Buffalo;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
CH4;Tropical ;Wet;Other Buffalo;Low-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
CH4;Tropical ;Moist;Other Buffalo;Low-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
CH4;Tropical;Dry;Other Buffalo;Low-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
CH4;Cool Temperate;Moist;Other Buffalo;Default;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
CH4;Cool Temperate;Dry;Other Buffalo;Default;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
CH4;Boreal;Moist;Other Buffalo;Default;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Boreal;Dry;Other Buffalo;Default;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
CH4;Warm Temperate;Moist;Other Buffalo;Default;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
CH4;Warm Temperate;Dry;Other Buffalo;Default;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
CH4;Tropical Montane;Dry;Other Buffalo;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
CH4;Tropical ;Wet;Other Buffalo;Default;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
CH4;Tropical ;Moist;Other Buffalo;Default;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
CH4;Tropical;Dry;Other Buffalo;Default;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
CH4;Cool Temperate;Moist;Breeding Swine;High-Productivity;180,9;63,3;6;3;0,6;0,3;6;30,2;18,1;63,3;0;0;0;0
CH4;Cool Temperate;Dry;Breeding Swine;High-Productivity;202;78,4;6;3;0,6;0,3;6;30,2;24,1;78,4;0;0;0;0
CH4;Boreal;Moist;Breeding Swine;High-Productivity;150,8;42,2;6;3;0,6;0,3;6;30,2;12,1;42,2;0;0;0;0
CH4;Boreal;Dry;Breeding Swine;High-Productivity;147,7;42,2;6;3;0,6;0,3;6;30,2;12,1;42,2;0;0;0;0
CH4;Warm Temperate;Moist;Breeding Swine;High-Productivity;220,1;111,6;12,1;4,5;0,6;1,5;6,8;30,2;39,2;111,6;0;0;0;0
CH4;Warm Temperate;Dry;Breeding Swine;High-Productivity;229,1;123,6;12,1;4,5;0,6;1,5;6,8;30,2;45,2;123,6;0;0;0;0
CH4;Tropical Montane;Dry;Breeding Swine;High-Productivity;229,1;177,9;15,1;6;0,6;3;7;30,2;75,4;177,9;0;0;0;0
CH4;Tropical ;Wet;Breeding Swine;High-Productivity;241,2;229,1;15,1;6;0,6;3;7;30,2;114,6;229,1;0;0;0;0
CH4;Tropical ;Moist;Breeding Swine;High-Productivity;241,2;220,1;15,1;6;0,6;3;7;30,2;108,5;220,1;0;0;0;0
CH4;Tropical;Dry;Breeding Swine;High-Productivity;241,2;223,1;15,1;6;0,6;3;7;30,2;126,6;223,1;0;0;0;0
CH4;Cool Temperate;Moist;Breeding Swine;Low-Productivity;116,6;40,8;3,9;1,9;0,6;0,2;20,6;19,4;11,7;40,8;0;0;0;0
CH4;Cool Temperate;Dry;Breeding Swine;Low-Productivity;130,2;50,5;3,9;1,9;0,6;0,2;20,6;19,4;15,5;50,5;0;0;0;0
CH4;Boreal;Moist;Breeding Swine;Low-Productivity;97,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Boreal;Dry;Breeding Swine;Low-Productivity;95,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Warm Temperate;Moist;Breeding Swine;Low-Productivity;141,8;71,9;7,8;2,9;0,6;1;21,1;19,4;25,3;71,9;0;0;0;0
CH4;Warm Temperate;Dry;Breeding Swine;Low-Productivity;147,7;79,7;7,8;2,9;0,6;1;21,1;19,4;29,1;79,7;0;0;0;0
CH4;Tropical Montane;Dry;Breeding Swine;Low-Productivity;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
CH4;Tropical ;Wet;Breeding Swine;Low-Productivity;155,4;147,7;9,7;3,9;0,6;1,9;21,2;19,4;73,8;147,7;0;0;0;0
CH4;Tropical ;Moist;Breeding Swine;Low-Productivity;155,4;141,8;9,7;3,9;0,6;1,9;21,2;19,4;69,9;141,8;0;0;0;0
CH4;Tropical;Dry;Breeding Swine;Low-Productivity;155,4;143,8;9,7;3,9;0,6;1,9;21,2;19,4;81,6;143,8;0;0;0;0
CH4;Cool Temperate;Moist;Breeding Swine;Default;116,6;40,8;3,9;1,9;0,6;0,2;20,6;19,4;11,7;40,8;0;0;0;0
CH4;Cool Temperate;Dry;Breeding Swine;Default;130,2;50,5;3,9;1,9;0,6;0,2;20,6;19,4;15,5;50,5;0;0;0;0
CH4;Boreal;Moist;Breeding Swine;Default;97,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Boreal;Dry;Breeding Swine;Default;95,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Warm Temperate;Moist;Breeding Swine;Default;141,8;71,9;7,8;2,9;0,6;1;21,1;19,4;25,3;71,9;0;0;0;0
CH4;Warm Temperate;Dry;Breeding Swine;Default;147,7;79,7;7,8;2,9;0,6;1;21,1;19,4;29,1;79,7;0;0;0;0
CH4;Tropical Montane;Dry;Breeding Swine;Default;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
CH4;Tropical ;Wet;Breeding Swine;Default;155,4;147,7;9,7;3,9;0,6;1,9;21,2;19,4;73,8;147,7;0;0;0;0
CH4;Tropical ;Moist;Breeding Swine;Default;155,4;141,8;9,7;3,9;0,6;1,9;21,2;19,4;69,9;141,8;0;0;0;0
CH4;Tropical;Dry;Breeding Swine;Default;155,4;143,8;9,7;3,9;0,6;1,9;21,2;19,4;81,6;143,8;0;0;0;0
CH4;Cool Temperate;Moist;Growing Swine;High-Productivity;180,9;63,3;6;3;0,6;0,3;6;30,2;18,1;63,3;0;0;0;0
CH4;Cool Temperate;Dry;Growing Swine;High-Productivity;202;78,4;6;3;0,6;0,3;6;30,2;24,1;78,4;0;0;0;0
CH4;Boreal;Moist;Growing Swine;High-Productivity;150,8;42,2;6;3;0,6;0,3;6;30,2;12,1;42,2;0;0;0;0
CH4;Boreal;Dry;Growing Swine;High-Productivity;147,7;42,2;6;3;0,6;0,3;6;30,2;12,1;42,2;0;0;0;0
CH4;Warm Temperate;Moist;Growing Swine;High-Productivity;220,1;111,6;12,1;4,5;0,6;1,5;6,8;30,2;39,2;111,6;0;0;0;0
CH4;Warm Temperate;Dry;Growing Swine;High-Productivity;229,1;123,6;12,1;4,5;0,6;1,5;6,8;30,2;45,2;123,6;0;0;0;0
CH4;Tropical Montane;Dry;Growing Swine;High-Productivity;229,1;177,9;15,1;6;0,6;3;7;30,2;75,4;177,9;0;0;0;0
CH4;Tropical ;Wet;Growing Swine;High-Productivity;241,2;229,1;15,1;6;0,6;3;7;30,2;114,6;229,1;0;0;0;0
CH4;Tropical ;Moist;Growing Swine;High-Productivity;241,2;220,1;15,1;6;0,6;3;7;30,2;108,5;220,1;0;0;0;0
CH4;Tropical;Dry;Growing Swine;High-Productivity;241,2;223,1;15,1;6;0,6;3;7;30,2;126,6;223,1;0;0;0;0
CH4;Cool Temperate;Moist;Growing Swine;Low-Productivity;116,6;40,8;3,9;1,9;0,6;0,2;20,6;19,4;11,7;40,8;0;0;0;0
CH4;Cool Temperate;Dry;Growing Swine;Low-Productivity;130,2;50,5;3,9;1,9;0,6;0,2;20,6;19,4;15,5;50,5;0;0;0;0
CH4;Boreal;Moist;Growing Swine;Low-Productivity;97,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Boreal;Dry;Growing Swine;Low-Productivity;95,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Warm Temperate;Moist;Growing Swine;Low-Productivity;141,8;71,9;7,8;2,9;0,6;1;21,1;19,4;25,3;71,9;0;0;0;0
CH4;Warm Temperate;Dry;Growing Swine;Low-Productivity;147,7;79,7;7,8;2,9;0,6;1;21,1;19,4;29,1;79,7;0;0;0;0
CH4;Tropical Montane;Dry;Growing Swine;Low-Productivity;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
CH4;Tropical ;Wet;Growing Swine;Low-Productivity;155,4;147,7;9,7;3,9;0,6;1,9;21,2;19,4;73,8;147,7;0;0;0;0
CH4;Tropical ;Moist;Growing Swine;Low-Productivity;155,4;141,8;9,7;3,9;0,6;1,9;21,2;19,4;69,9;141,8;0;0;0;0
CH4;Tropical;Dry;Growing Swine;Low-Productivity;155,4;143,8;9,7;3,9;0,6;1,9;21,2;19,4;81,6;143,8;0;0;0;0
CH4;Cool Temperate;Moist;Growing Swine;Default;116,6;40,8;3,9;1,9;0,6;0,2;20,6;19,4;11,7;40,8;0;0;0;0
CH4;Cool Temperate;Dry;Growing Swine;Default;130,2;50,5;3,9;1,9;0,6;0,2;20,6;19,4;15,5;50,5;0;0;0;0
CH4;Boreal;Moist;Growing Swine;Default;97,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Boreal;Dry;Growing Swine;Default;95,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
CH4;Warm Temperate;Moist;Growing Swine;Default;141,8;71,9;7,8;2,9;0,6;1;21,1;19,4;25,3;71,9;0;0;0;0
CH4;Warm Temperate;Dry;Growing Swine;Default;147,7;79,7;7,8;2,9;0,6;1;21,1;19,4;29,1;79,7;0;0;0;0
CH4;Tropical Montane;Dry;Growing Swine;Default;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
CH4;Tropical ;Wet;Growing Swine;Default;155,4;147,7;9,7;3,9;0,6;1,9;21,2;19,4;73,8;147,7;0;0;0;0
CH4;Tropical ;Moist;Growing Swine;Default;155,4;141,8;9,7;3,9;0,6;1,9;21,2;19,4;69,9;141,8;0;0;0;0
CH4;Tropical;Dry;Growing Swine;Default;155,4;143,8;9,7;3,9;0,6;1,9;21,2;19,4;81,6;143,8;0;0;0;0
CH4;Cool Temperate;Moist;Chicken Broiler;High-Productivity;156,8;54,9;5,2;2,6;0,6;0;5,2;2,6;0;54,9;0;0;0;0
CH4;Cool Temperate;Dry;Chicken Broiler;High-Productivity;175,1;67,9;5,2;2,6;0,6;0;5,2;2,6;0;67,9;0;0;0;0
CH4;Boreal;Moist;Chicken Broiler;High-Productivity;130,7;36,6;5,2;2,6;0,6;0;5,2;2,6;0;36,6;0;0;0;0
CH4;Boreal;Dry;Chicken Broiler;High-Productivity;128;36,6;5,2;2,6;0,6;0;5,2;2,6;0;36,6;0;0;0;0
